artist.id,artist.name,id
0kObWap02DEg9EAJ3PBxzf,Starship,6OnfBiiSc9RGKiBKKtZXgQ
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,6aGjEZ7kq3YXgD0EDt80O5
718COspgdWOnwOFpJHRZHS,Luke Combs,6guWjUuNYziyNXgjFo1IpF
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,6qn9YLKt13AGvpq9jfO8py
7CajNmpbOovFoOoasH2HaY,Calvin Harris,6qn9YLKt13AGvpq9jfO8py
0C0XlULifJtAgn6ZNCW2eu,The Killers,70wYA8oYHoMzhRRkARoMhU
06HL4z0CvFAxyc27GXpf02,Taylor Swift,72jCZdH0Lhg93z6Z4hBjgj
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,7B1QliUMZv7gSTUGAfMRRD
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,7pT6WSg4PCt4mr5ZFyUfsF
56oDRnqbIiwx4mymNEv7dS,Lizzo,07Oz5StQ7GRoygNLaXs2pd
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,07Oz5StQ7GRoygNLaXs2pd
1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,09kvhnq2ONdNo4NRtHBSvv
3TVXtAsR1Inumwj472S9r4,Drake,0m1KYWlT6LhFRBDVq9UNx4
55Aa2cqylxrFIXC767Z865,Lil Wayne,0m1KYWlT6LhFRBDVq9UNx4
14pVkFUHDL207LzLHtSA18,Pantera,2SgbR6ttzoNlCRGQOKjrop
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2r6OAV3WsYtXuXjvJ1lIDi
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,2r6OAV3WsYtXuXjvJ1lIDi
56oDRnqbIiwx4mymNEv7dS,Lizzo,2rjjNUYONZqC7wSd1i6OFq
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2rjjNUYONZqC7wSd1i6OFq
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,2z4U9d5OAA4YLNXoCgioxo
711MCceyCBcFnzjGY4Q7Un,AC/DC,2zYzyRzz6pRmhPzyfMEC8s
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,3WefHNGtjexZvi66ZEx9u4
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,3WefHNGtjexZvi66ZEx9u4
56oDRnqbIiwx4mymNEv7dS,Lizzo,3Yh9lZcWyKrK9GjbhuS0hR
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,3y8xKFhQWc8DARB3fuGMGA
79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,3y8xKFhQWc8DARB3fuGMGA
0Z8XVUAOBPM4x12wKnFHEQ,Parker McCollum,4RYTi6AJnzLu6qYtkjZGvZ
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,4Yy1VOdLAX7MuKQOcivV4O
4dpARuHxo51G3z768sgnrY,Adele,4sPmO7WMQUAf45kwMOtONw
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,5VdxS3tU3hPoG7bunIte9F
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,5VdxS3tU3hPoG7bunIte9F
711MCceyCBcFnzjGY4Q7Un,AC/DC,69QHm3pustz01CJRwdo20z
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,6IRdLKIyS4p7XNiP8r6rsx
56oDRnqbIiwx4mymNEv7dS,Lizzo,6KgBpzTuTRPebChN0VTyzV
3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF
3l0CmX0FuQjFxr8SK7Vqag,Clairo,7qwt4xUIqQWCu1DJf96g2k
3lLHpTOJ11tWiUNGYN14gt,Rejjie Snow,7qwt4xUIqQWCu1DJf96g2k
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,02jGo2FGICuwh0WnFSiLuG
79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,02jGo2FGICuwh0WnFSiLuG
6KZDXtSj0SzGOV705nNeh3,Kid Ink,0TKWHD7sbO0CrEAdegPLZm
4fZ8AuVP6Y8mLmCoybfKpC,Adam Calhoun,0bVDVrDU7zmWk2kXLL02kS
4nreGSB7QWCSeYWKpcz3pt,Katie Noel,0bVDVrDU7zmWk2kXLL02kS
3gMaNLQm7D9MornNILzdSl,Lionel Richie,0mHyWYXmmCB9iQyK18m3FQ
4Gso3d4CscCijv0lmajZWs,Don Toliver,1h0pnN5qyrpfQMnwrGzuCu
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,1ktq5Xdxq28KMDQ4Oj6uz7
1qDDkysTxJvFandHwP9CMx,Noah Schnacky,1p61zyWNtBhbbAFzg4HUiq
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,2XEl9DfBj88c8p2bdfx1qu
3Fe3pszR2t4TOBVz41B1WR,The Oh Hellos,2c62Xf5Po1YSa1N6LOjPHy
6KZDXtSj0SzGOV705nNeh3,Kid Ink,2oQ7BMTdgpDl2SGXmap92X
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2oQ7BMTdgpDl2SGXmap92X
7CCjtD0hCK005Bvg2WG1a7,Carnage,2wBB2KKqtuK1fcxAiqbCSZ
5LHRHt1k9lMyONurDHEdrp,Tyga,2wBB2KKqtuK1fcxAiqbCSZ
3ppQEG71r7jVpI8RudzycF,OHGEESY,2wBB2KKqtuK1fcxAiqbCSZ
3EW0kQ1skZiK1NHg3Spt9J,Takeoff,2wBB2KKqtuK1fcxAiqbCSZ
6LqNN22kT3074XbTVUrhzX,Kesha,3Ex5RFJRUdpHcDOLXJOVLy
